Name,Type,Direction,Device Name,Default,Default Multimedia,Default Communications,Device State,Muted,Volume dB,Volume Percent,Min Volume dB,Max Volume dB,Volume Step,Channels Count,Channels dB,Channels  Percent,Item ID,Command-Line Friendly ID,Process Path,Process ID,Window Title,Registry Key
Capture,Subunit,Capture,Logitech StreamCam,,,,,No,,100.0%,18.00 dB,54.00 dB,0.50 dB,1,54.00 dB,100.0%,{2}.\\?\usb#vid_046d&pid_0893&mi_02#6&1c7fc66f&0&0002#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\global/00020003,Logitech StreamCam\Subunit\Capture,,,,
IntelAudioService,Application,Render,Realtek(R) Audio,,,,,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{b8eed3a1-9b32-4ea6-b7d2-8e15ae2c61af}|\Device\HarddiskVolume3\Windows\System32\cAVS\IAS\IntelAudioService.exe%b{00000000-0000-0000-0000-000000000000}|0%b6040,Realtek(R) Audio\Application\IntelAudioService,C:\Windows\System32\cAVS\IAS\IntelAudioService.exe,6040,,
Line 1,Device,Render,Virtual Audio Cable,,,,Active,No,-3.22 dB,50.0%,-40.00 dB,12.00 dB,1.00 dB,8,"-3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB","50.0%, 50.0%, 50.0%, 50.0%, 50.0%, 50.0%, 50.0%, 50.0%",{0.0.0.00000000}.{9b326fd0-6f35-42e0-b3f3-0af3a79d6677},Virtual Audio Cable\Device\Line 1\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{9b326fd0-6f35-42e0-b3f3-0af3a79d6677}
Line 1,Device,Capture,Virtual Audio Cable,,,,Active,No,-3.22 dB,50.0%,-40.00 dB,12.00 dB,1.00 dB,8,"-3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB","50.0%, 50.0%, 50.0%, 50.0%, 50.0%, 50.0%, 50.0%, 50.0%",{0.0.1.00000000}.{99e0bcbf-01bf-4400-8982-93881cedfa1f},Virtual Audio Cable\Device\Line 1\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{99e0bcbf-01bf-4400-8982-93881cedfa1f}
Mic Volume,Subunit,Capture,Intel® Smart Sound Technology (Intel® SST),,,,,No,,100.0%,-95.76 dB,30.24 dB,1.26 dB,2,"30.24 dB, 30.24 dB","100.0%, 100.0%",{2}.\\?\intelaudio#ctlr_dev_06c8&linktype_02&devtype_00&ven_8086&dev_ae20&subsys_878c103c&rev_10ec#5&16a4de53&0&0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\intcdmictopo_2 _48_16_0/00020000,Intel® Smart Sound Technology (Intel® SST)\Subunit\Mic Volume,,,,
Microphone,Device,Capture,Logitech StreamCam,Capture,Capture,Capture,Active,No,54.00 dB,100.0%,18.00 dB,54.00 dB,0.50 dB,1,54.00 dB,100.0%,{0.0.1.00000000}.{b8eed3a1-9b32-4ea6-b7d2-8e15ae2c61af},Logitech StreamCam\Device\Microphone\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{b8eed3a1-9b32-4ea6-b7d2-8e15ae2c61af}
Microphone Array,Device,Capture,Intel® Smart Sound Technology (Intel® SST),,,,Active,No,30.24 dB,100.0%,-95.76 dB,30.24 dB,1.26 dB,2,"30.24 dB, 30.24 dB","100.0%, 100.0%",{0.0.1.00000000}.{e2ccb0cc-9bde-4599-b7ca-b2f9502f3723},Intel® Smart Sound Technology (Intel® SST)\Device\Microphone Array\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{e2ccb0cc-9bde-4599-b7ca-b2f9502f3723}
"Pin 0, no line",Subunit,Capture,Virtual Audio Cable,,,,,No,,17.1%,-40.00 dB,12.00 dB,1.00 dB,8,"-3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB","17.1%, 17.1%, 17.1%, 17.1%, 17.1%, 17.1%, 17.1%, 17.1%",{2}.\\?\root#{83ed7f0e-2028-4956-b0b4-39c76fdaef1d}#0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\topo1_c_rt/00020004,"Virtual Audio Cable\Subunit\Pin 0, no line",,,,
"Pin 1, no line",Subunit,Render,Virtual Audio Cable,,,,,No,,17.1%,-40.00 dB,12.00 dB,1.00 dB,8,"-3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB, -3.22 dB","17.1%, 17.1%, 17.1%, 17.1%, 17.1%, 17.1%, 17.1%, 17.1%",{2}.\\?\root#{83ed7f0e-2028-4956-b0b4-39c76fdaef1d}#0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\topo1_r_rt/00020000,"Virtual Audio Cable\Subunit\Pin 1, no line",,,,
Speaker,Device,Render,Realtek(R) Audio,Render,Render,Render,Active,No,-9.75 dB,52.0%,-65.25 dB,0.00 dB,0.03 dB,2,"-9.75 dB, -9.75 dB","52.0%, 52.0%",{0.0.0.00000000}.{1b411a4f-19e7-40be-8152-d021e53faf01},Realtek(R) Audio\Device\Speaker\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{1b411a4f-19e7-40be-8152-d021e53faf01}
Speakers,Subunit,Render,Realtek(R) Audio,,,,,No,,32.6%,-65.25 dB,0.00 dB,0.03 dB,2,"-9.72 dB, -9.72 dB","32.6%, 32.6%",{2}.\\?\intelaudio#func_01&ven_10ec&dev_0245&subsys_103c878c&rev_1000#5&16a4de53&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\rearlineouttoposst/00020000,Realtek(R) Audio\Subunit\Speakers,,,,
System Sounds,Application,Render,Realtek(R) Audio,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{9b326fd0-6f35-42e0-b3f3-0af3a79d6677}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Realtek(R) Audio\Application\System Sounds,,,,
System Sounds,Application,Render,Realtek(R) Audio,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{99e0bcbf-01bf-4400-8982-93881cedfa1f}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Realtek(R) Audio\Application\System Sounds,,,,
System Sounds,Application,Render,Realtek(R) Audio,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{b8eed3a1-9b32-4ea6-b7d2-8e15ae2c61af}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Realtek(R) Audio\Application\System Sounds,,,,
System Sounds,Application,Render,Realtek(R) Audio,,,,,No,,100.0%,,,0.00 dB,4,,"100.0%, 100.0%, 100.0%, 100.0%",{0.0.1.00000000}.{e2ccb0cc-9bde-4599-b7ca-b2f9502f3723}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Realtek(R) Audio\Application\System Sounds,,,,
System Sounds,Application,Render,Realtek(R) Audio,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{1b411a4f-19e7-40be-8152-d021e53faf01}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Realtek(R) Audio\Application\System Sounds,,,,
Xbox Game Bar,Application,Render,Realtek(R) Audio,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{1b411a4f-19e7-40be-8152-d021e53faf01}|#%b{CE24F02B-6255-496C-81AC-7BA5836BC3F5}|1%b#,Realtek(R) Audio\Application\Xbox Game Bar,C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_5.722.3302.0_x64__8wekyb3d8bbwe\GameBar.exe,2728,,
